Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
52000,0.85465246,16.43859649122807,6.9268336,15.508771929824562,15.508771929824562,1.0
54000,0.9176661,16.910714285714285,6.7334657,15.919642857142858,15.919642857142858,1.0
56000,0.9076259,17.546296296296298,7.2926364,16.5,16.5,1.0
58000,0.95399845,15.462809917355372,7.4560533,14.512396694214877,14.512396694214877,1.0
60000,0.958693,15.7,7.3478904,14.65,14.65,1.0
62000,0.92811537,16.310344827586206,7.1992307,15.327586206896552,15.327586206896552,1.0
64000,0.9184979,15.413223140495868,7.583288,14.438016528925619,14.438016528925619,1.0
66000,0.93961537,16.901785714285715,6.992414,15.857142857142858,15.857142857142858,1.0
68000,0.8836336,16.649122807017545,7.536895,15.62280701754386,15.62280701754386,1.0
70000,0.8580469,18.134615384615383,7.3598657,17.16346153846154,17.16346153846154,1.0
72000,0.8878802,18.57843137254902,7.987661,17.568627450980394,17.568627450980394,1.0
74000,0.92110115,17.66355140186916,8.291128,16.69158878504673,16.69158878504673,1.0
76000,0.8852243,17.044642857142858,8.101307,15.982142857142858,15.982142857142858,1.0
78000,0.9031054,18.519607843137255,8.383323,17.46078431372549,17.46078431372549,1.0
80000,0.8984618,19.1010101010101,8.370036,18.19191919191919,18.19191919191919,1.0
82000,0.8485539,21.455555555555556,9.1028805,20.344444444444445,20.344444444444445,1.0
84000,0.864673,19.50515463917526,9.159423,18.567010309278352,18.567010309278352,1.0
86000,0.8865928,19.15,9.251405,18.11,18.11,1.0
88000,0.8220166,20.57608695652174,9.718478,19.717391304347824,19.717391304347824,1.0
90000,0.86191,21.122222222222224,9.384769,20.122222222222224,20.122222222222224,1.0
92000,0.81278473,22.647058823529413,9.805698,21.49411764705882,21.49411764705882,1.0
94000,0.7970638,22.88095238095238,9.685055,21.952380952380953,21.952380952380953,1.0
96000,0.82633275,20.75824175824176,10.171919,19.64835164835165,19.64835164835165,1.0
98000,0.8422121,21.738636363636363,9.798877,20.818181818181817,20.818181818181817,1.0
