Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,1.9117494,1.724006532389766,-1.2772733,0.7201197930846719,0.7201197930846719,4.190378,0.14050601,0.0004974378,1.0
20000,0.6964114,13.463872832369942,0.64775056,12.46242774566474,12.46242774566474,3.8424525,0.1466122,0.0004928167,1.0
30000,0.6489176,13.602339181286549,1.9619198,12.600877192982455,12.600877192982455,0.77766824,0.17933117,0.0004876805,1.0
40000,0.4983852,14.479876160990711,1.6685536,13.48297213622291,13.48297213622291,0.49850988,0.14247717,0.0004825335,1.0
50000,0.30128214,16.216867469879517,2.3921835,15.227194492254734,15.227194492254734,0.92080486,0.14371529,0.0004773857,1.0
60000,0.084396675,16.680212014134277,2.540763,15.669611307420494,15.669611307420494,0.09913706,0.13488415,0.00047223695,1.0
70000,0.17862578,17.54562383612663,2.4925616,16.54730983302412,16.54730983302412,0.19012697,0.13480374,0.0004670919,1.0
80000,0.003790023,15.38688524590164,2.5563498,14.38032786885246,14.38032786885246,0.12903002,0.14391205,0.00046246947,1.0
90000,6.147047e-05,16.410434782608696,2.5140412,15.410434782608696,15.410434782608696,0.03246889,0.14272103,0.00045783725,1.0
100000,6.3859305e-05,16.425828970331587,2.4817865,15.427574171029669,15.427574171029669,0.028249627,0.14047419,0.00045269635,1.0
110000,6.935178e-05,16.383680555555557,2.5061498,15.385416666666666,15.385416666666666,0.030280873,0.13926789,0.00044754986,1.0
120000,0.00017310597,16.283737024221452,2.4985373,15.283737024221454,15.283737024221454,0.023890289,0.13694529,0.00044240354,1.0
130000,0.008233014,17.408839779005525,2.433682,16.41804788213628,16.41804788213628,0.13031147,0.13960001,0.0004372595,1.0
140000,0.017135,15.964406779661017,2.4663396,14.952542372881355,14.952542372881355,0.43006206,0.15309721,0.00043211915,1.0
150000,0.009880037,11.542032622333751,2.0803123,10.525062656641603,10.525062656641603,0.44580564,0.14485992,0.00042748507,1.0
160000,3.711603e-05,12.311170212765957,1.6460097,11.296148738379815,11.296148738379815,0.04932043,0.26927343,0.00042284984,1.0
170000,1.3234748e-05,12.416107382550335,1.6977942,11.418791946308724,11.418791946308724,0.026947433,0.13229752,0.0004176987,1.0
180000,1.3225042e-05,12.868238557558946,1.7108058,11.869625520110956,11.869625520110956,0.020652084,0.1391392,0.0004125509,1.0
190000,0.0005782889,12.231481481481481,1.6449026,11.227513227513228,11.227513227513228,0.021831118,0.13835616,0.0004074106,1.0
200000,0.00014671379,12.384203480589022,1.6234004,11.378848728246318,11.378848728246318,0.022139749,0.13927539,0.00040226517,1.0
210000,1.3216149e-05,12.316910785619175,1.6260996,11.318242343541945,11.318242343541945,0.01936534,0.14061025,0.00039710285,1.0
220000,1.32108935e-05,11.94041450777202,1.5701789,10.936610608020699,10.936610608020699,0.021549447,0.13718666,0.0003924757,1.0
230000,1.3213879e-05,11.73027989821883,1.5025793,10.71882951653944,10.71882951653944,0.019093085,0.13845357,0.0003878483,1.0
240000,1.3214984e-05,12.523680649526387,1.6392287,11.529093369418133,11.529093369418133,0.019151714,0.13575234,0.00038270222,1.0
250000,1.3209617e-05,12.243708609271524,1.5985792,11.241059602649006,11.241059602649006,0.020194354,0.13809898,0.00037756193,1.0
260000,1.3213646e-05,12.167105263157895,1.5559813,11.173684210526316,11.173684210526316,0.017589863,0.14114843,0.0003724257,1.0
270000,1.3213298e-05,11.909560723514211,1.5498397,10.900516795865633,10.900516795865633,0.016950183,0.13982497,0.00036727704,1.0
280000,1.3207646e-05,12.100785340314136,1.594744,11.106020942408376,11.106020942408376,0.020836206,0.14473955,0.0003621423,1.0
290000,1.3213825e-05,11.777493606138107,1.5213461,10.78388746803069,10.78388746803069,0.016190736,0.13965715,0.0003575225,1.0
300000,1.3214152e-05,12.617687074829933,1.6375296,11.616326530612245,11.616326530612245,0.018337032,0.14500588,0.00035290062,1.0
310000,1.3213146e-05,11.949481865284975,1.5339118,10.941709844559586,10.941709844559586,0.01619061,0.14145647,0.00034775646,1.0
320000,1.321504e-05,12.235761589403973,1.6542326,11.220899470899472,11.220899470899472,0.018963473,0.13625771,0.0003426106,1.0
330000,1.3211725e-05,12.297872340425531,1.5975549,11.30186170212766,11.30186170212766,0.016506998,0.14183877,0.00033747102,1.0
340000,1.321354e-05,12.175230566534914,1.589865,11.18050065876153,11.18050065876153,0.015724411,0.13788699,0.00033233492,1.0
350000,1.5797374e-05,12.046936114732725,1.5424293,11.035202086049544,11.035202086049544,0.01576733,0.1355349,0.0003271978,1.0
360000,1.3381721e-05,12.491275167785235,1.7107325,11.48921832884097,11.48921832884097,0.015348931,0.13355696,0.00032205862,1.0
370000,1.3212656e-05,11.93888166449935,1.57038,10.949481865284975,10.949481865284975,0.014891385,0.1347419,0.000317428,1.0
380000,1.3211576e-05,12.188654353562006,1.5963801,11.188654353562006,11.188654353562006,0.016958911,0.13612546,0.00031280154,1.0
390000,1.321251e-05,11.98961038961039,1.5795124,10.98961038961039,10.98961038961039,0.016143622,0.13831198,0.00030765362,1.0
400000,1.3212379e-05,11.894193548387097,1.5477004,10.892903225806451,10.892903225806451,0.016659796,0.13847795,0.00030251054,1.0
410000,1.3215256e-05,11.641414141414142,1.4814163,10.63510101010101,10.63510101010101,0.015130125,0.13571861,0.00029736484,1.0
420000,1.3211229e-05,12.335113484646195,1.6425639,11.335113484646195,11.335113484646195,0.015312997,0.13851072,0.00029222132,1.0
430000,1.3212711e-05,11.58867924528302,1.4821839,10.617128463476071,10.617128463476071,0.014951646,0.13371837,0.00028707663,1.0
440000,1.3212599e-05,11.871134020618557,1.5282657,10.832904884318767,10.832904884318767,0.015171845,0.14651608,0.00028245192,1.0
450000,1.3211873e-05,11.929032258064517,1.534282,10.921290322580646,10.921290322580646,0.014550055,0.14029881,0.00027782092,1.0
460000,1.3225153e-05,12.524390243902438,1.6754124,11.537940379403794,11.537940379403794,0.01388822,0.13883908,0.00027268103,1.0
470000,1.3211491e-05,12.04296875,1.5803002,11.03515625,11.03515625,0.014662912,0.13584164,0.00026754334,1.0
480000,1.321593e-05,11.932729624838293,1.5052277,10.936610608020699,10.936610608020699,0.0134400185,0.13189928,0.00026239394,1.0
490000,1.3214706e-05,12.772413793103448,1.682651,11.76551724137931,11.76551724137931,0.016035408,0.13774066,0.00025724652,1.0
500000,1.3214772e-05,12.120576671035387,1.5782738,11.107329842931938,11.107329842931938,0.014251022,0.13401423,0.00025211336,1.0
510000,1.3215913e-05,12.422818791946309,1.604679,11.42013422818792,11.42013422818792,0.013899158,0.13984446,0.00024748058,1.0
