Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,1.9619801,1.8379144233493907,0.0881016,0.8333333333333334,0.8333333333333334,2.0535686,0.14423889,0.00029231366,1.0
20000,1.304265,7.719022687609075,0.6336796,6.708805579773322,6.708805579773322,3.186201,0.13435432,0.00027844805,1.0
30000,0.8125091,15.14516129032258,1.4254144,14.151612903225807,14.151612903225807,2.064394,0.13594706,0.00026303824,1.0
40000,0.5811429,17.16,2.143492,16.154545454545456,16.154545454545456,0.7294626,0.13856766,0.00024761044,1.0
50000,0.4860103,17.869811320754717,2.513968,16.867924528301888,16.867924528301888,0.37573025,0.13926984,0.00023216703,1.0
60000,0.43322435,18.13001912045889,2.5603971,17.131931166347993,17.131931166347993,0.2941734,0.1373998,0.00021671916,1.0
70000,0.43550897,17.741573033707866,2.6148756,16.739700374531836,16.739700374531836,0.25890955,0.14487474,0.00020125354,1.0
80000,0.40279108,18.132183908045977,2.5967827,17.134099616858236,17.134099616858236,0.21348514,0.130692,0.00018733995,1.0
90000,0.40463877,18.201535508637235,2.5448165,17.203454894433783,17.203454894433783,0.1870144,0.14313571,0.00017344837,1.0
100000,0.3956254,18.49122807017544,2.574591,17.497076023391813,17.497076023391813,0.15654714,0.14411536,0.00015801846,1.0
110000,0.4177174,18.49317738791423,2.5998192,17.49512670565302,17.49512670565302,0.14773916,0.1433806,0.00014255499,1.0
120000,0.40455973,18.46303501945525,2.585748,17.46303501945525,17.46303501945525,0.13099997,0.1344778,0.00012710228,1.0
130000,0.42965847,18.563600782778867,2.588204,17.549902152641877,17.549902152641877,0.117703184,0.14188631,0.000111651374,1.0
140000,0.42834657,18.766798418972332,2.6038494,17.768774703557312,17.768774703557312,0.11807251,0.13646455,9.620228e-05,1.0
150000,0.43890205,18.700787401574804,2.5979512,17.700787401574804,17.700787401574804,0.12070761,0.13861296,8.230283e-05,1.0
160000,0.4195348,18.544031311154598,2.5886683,17.551859099804304,17.551859099804304,0.10902283,0.13774571,6.839379e-05,1.0
170000,0.4170124,18.342359767891683,2.568573,17.34816247582205,17.34816247582205,0.09401564,0.13548972,5.2975298e-05,1.0
180000,0.42726916,18.633333333333333,2.574441,17.619607843137256,17.619607843137256,0.09204187,0.1347245,3.75334e-05,1.0
190000,0.40683466,18.74901185770751,2.5962493,17.75098814229249,17.75098814229249,0.0945368,0.14586723,2.2092096e-05,1.0
200000,0.4305369,18.74901185770751,2.5854044,17.75098814229249,17.75098814229249,0.097278126,0.13184543,6.6706066e-06,1.0
